,state,value
0,Abia,2.215341330085761
1,Adamawa,4.184103817336417
2,Akwa Ibom,2.052357191184999
3,Anambra,2.348859430959013
4,Bauchi,4.245981157096398
5,Bayelsa,2.0391256104871025
6,Benue,2.8681579240814408
7,Borno,4.440136482578014
8,Cross River,2.376274122038157
9,Delta,2.1733785960216805
10,Ebonyi,2.486414854635382
11,Edo,2.320542050822099
12,Ekiti,2.6190829296818054
13,Enugu,2.437631554907045
14,Federal Capital Territory,2.9851943883958905
15,Gombe,4.19793861058868
16,Imo,2.222811292671516
17,Jigawa,4.314653105396858
18,Kaduna,3.805434601861392
19,Kano,4.25612722378364
20,Katsina,4.347975845365159
21,Kebbi,3.8785099982704803
22,Kogi,2.7434541350844377
23,Kwara,2.9821145334137693
24,Lagos,2.385399805077865
25,Nasarawa,3.073246014412385
26,Niger,3.265049449130886
27,Ogun,2.2000963221213317
28,Ondo,2.2955438114297295
29,Osun,2.304734207573446
30,Oyo,2.5151355276229372
31,Plateau,3.850378494790055
32,Rivers,2.093068008160377
33,Sokoto,4.217710230890698
34,Taraba,3.5418213278913404
35,Yobe,4.422927469829408
36,Zamfara,4.08468534382075
