,state,area (m2)
0,Abia,4858882334.5406885
1,Adamawa,37924987686.48676
2,Akwa Ibom,6736774180.670357
3,Anambra,4807933356.401961
4,Bauchi,48496400512.55354
5,Bayelsa,9546396089.81443
6,Benue,31462228468.025856
7,Borno,72474716785.48756
8,Cross River,20939934698.185635
9,Delta,17112996163.118307
10,Ebonyi,6336481279.4469185
11,Edo,19555551902.785343
12,Ekiti,5773235784.980734
13,Enugu,7635724100.0371685
14,Federal Capital Territory,7388145051.303428
15,Gombe,17437997288.698074
16,Imo,5075461182.630523
17,Jigawa,23201550364.556087
18,Kaduna,44146819096.88618
19,Kano,20310402314.661644
20,Katsina,23957923596.392487
21,Kebbi,36788020936.98539
22,Kogi,28925879027.80087
23,Kwara,33838416918.476494
24,Lagos,3701447552.4416637
25,Nasarawa,26750498600.80451
26,Niger,72143467803.99825
27,Ogun,16810673710.703232
28,Ondo,15132200915.570753
29,Osun,8644298169.82618
30,Oyo,27824834023.060352
31,Plateau,26489782852.245106
32,Rivers,10188803843.536415
33,Sokoto,32257590292.17984
34,Taraba,58561232358.72276
35,Yobe,44889604584.627884
36,Zamfara,33561959148.238953
